,rownum,sno,CUI1,CUI2,lesk,vector
499,499,9,C1307210,C3037767,9,0.138
500,500,10,C2603990,C3176542,12,0.1649
501,501,11,C0865672,C3016579,10,0.1119
502,502,12,C1915377,C4023210,15,0.0877
503,503,13,C2462994,C3924126,7,0.0265
504,504,14,C0736148,C1194952,6,0.0593
505,505,15,C1184238,C2372333,10,0.0622
506,506,16,C2627995,C3638622,37,0.7772
507,507,17,C2438238,C3177204,16,0.1462
508,508,18,C3092328,C3626829,15,0.3038
509,509,19,C0045391,C0764390,1236,0.5595
510,510,20,C3322886,C3635485,14,0.303
511,511,21,C0390300,C1572959,0,0.0275
512,512,22,C0934978,C1668634,17,0.0819
513,513,23,C1176299,C2484862,9,0.0165
514,514,24,C2565407,C3076320,6,0.0633
515,515,25,C1098658,C1230144,1,0.037
516,516,26,C2623333,C3329778,37,0.7772
517,517,27,C2360448,C2781232,1,0.0908
518,518,28,C1284636,C3122714,27,0.612
519,519,29,C1467060,C2375819,4,0.0589
520,520,30,C1677399,C3121896,0,0.0815
521,521,31,C1977330,C3504938,53,0.0678
522,522,32,C1323432,C2269916,12,0.0061
523,523,33,C1974463,C2981392,12,0.1008
524,524,34,C0006339,C1831061,311,0.2958
525,525,35,C2448136,C3920611,7,0.0453
526,526,36,C1835804,C3613839,17,0.0692
527,527,37,C2268333,C4011903,10,0.0304
528,528,38,C0124192,C2452590,18,0.0589
529,529,39,C1895967,C1925895,4225,0.9995
530,530,40,C0344523,C2393033,27,0.3218
531,531,41,C0486978,C3084768,31,0.4348
532,532,42,C1234202,C1847518,1,0.0079
533,533,43,C1504909,C3565264,10,0.0441
534,534,44,C1566201,C4003176,9,0.0441
535,535,45,C1158680,C2463086,19,0.0886
536,536,46,C1974906,C2742421,1225,0.4898
537,537,47,C0456483,C2551461,23,0.2484
538,538,48,C2352823,C3150602,17,0.0809
539,539,49,C1180874,C3795421,7,0
540,540,50,C1881063,C2567659,19,0.1191
541,541,51,C1886759,C3656555,10,0.0793
542,542,52,C1460748,C3724850,1,0.0328
543,543,53,C1087445,C1218359,7,0.0179
544,544,54,C0241321,C2682138,24,0.0366
545,545,55,C1167247,C2471543,25,0.0639
