,CUI1,CUI2,vector
569,C0623497,C2734925,0.0678
570,C3383477,C3455640,0.7087
571,C3378017,C3446331,0.9995
572,C0711240,C0226243,0.0000
573,C0244790,C2459199,0.0599
574,C1823490,C1193460,0.0000
575,C3260474,C3336982,0.0211
576,C0008370,C3854244,0.0188
577,C0942449,C0484572,0.5348
578,C0238002,C0944885,0.4191
579,C1869761,C0150943,0.1570
580,C0939107,C1147008,0.3593
581,C0023014,C1083004,0.0000
582,C2720037,C1048060,0.0262
583,C1976941,C1515940,0.0500
584,C2514316,C0362296,0.1096
585,C3172398,C0928171,0.2151
586,C1478155,C1325455,0.0104
587,C0617059,C3108438,0.0489
588,C0671266,C2727221,0.1797
589,C2935930,C1241690,0.0000
590,C0362282,C3597779,0.1725
591,C2620319,C0235744,0.5721
592,C0423479,C3900819,0.1253
593,C3654510,C1172820,0.0317
594,C2294305,C2266252,0.0125
595,C1654530,C0077008,0.1404
596,C0010672,C0882370,0.1701
597,C0650775,C0802348,0.0442
598,C3813660,C0067595,0.0148
599,C2762571,C2990020,0.0000
600,C3274325,C1426344,0.4334
601,C2499073,C1667537,0.0716
602,C2813620,C0709649,0.0186
603,C0705459,C3146717,0.0000
604,C4008842,C3416226,0.0000
605,C1716429,C0804085,0.6628
606,C2736336,C3891043,0.0572
607,C0803549,C1979502,0.1644
608,C1551720,C0004158,0.1791
609,C2814352,C3933517,0.0364
610,C3578587,C2707699,0.0153
611,C0260314,C0868512,0.0263
612,C0799100,C3599482,0.2115
613,C1183870,C1152613,0.1691
614,C0798645,C0927541,0.1060
615,C1253319,C1222676,0.2009
616,C3652365,C1271607,0.2670
617,C4044701,C1508110,0.0844
618,C0385245,C3612125,0.0492
619,C1630084,C0045447,0.0808
620,C1683784,C3654163,0.0518
621,C2216404,C1544395,0.1073
622,C1561180,C0459953,0.3269
623,C0560002,C3127286,0.0117
624,C0799355,C0637364,0.0937
625,C0546983,C0080168,0.4326
626,C0458580,C1468978,0.2084
627,C1676171,C1449958,0.5832
628,C0486209,C0267047,0.1412
629,C2607937,C1333336,0.2786
630,C0111812,C0010705,0.1082
631,C1369730,C3165658,0.0823
632,C1690838,C1371003,0.3475
633,C0802427,C1676618,0.0656
634,C1171349,C3987116,0.1220
635,C1333536,C1979488,0.3096
636,C0344730,C2556859,0.0174
637,C3394983,C1012535,0.0703
638,C3272717,C1369911,0.3457
639,C2562265,C1169889,0.0047
640,C1507745,C0880850,0.1639
641,C0017681,C0019842,0.1967
642,C0880815,C3637700,0.2284
643,C0798936,C3654318,0.2834
644,C0693521,C3935297,0.2976
645,C0058990,C1039798,0.0491
646,C1819731,C1335694,0.5212
647,C0485616,C1434434,0.1796
648,C0798341,C3850153,0.4258
649,C2736457,C2682333,0.0405
650,C0367313,C0797832,0.7965
651,C3637982,C1826831,0.6944
652,C0796790,C3432882,0.2455
653,C1831350,C1023911,0.3350
654,C3378429,C1093154,0.0179
655,C3548192,C0979916,0.2192
656,C2707579,C1147698,0.1298
657,C3063248,C2299567,0.1452
658,C0933914,C2629232,0.1343
659,C0485850,C1042055,0.0755
660,C1179866,C3273515,0.0592
661,C2546610,C0364988,0.0282
662,C1114793,C1846170,0.0535
663,C1425900,C0083859,0.4759
664,C1686592,C1887294,0.0772
665,C0880166,C0949961,0.0670
666,C2646725,C0483800,0.1191
667,C3735739,C3255292,0.1065
668,C0921893,C0484759,0.1811
669,C3865017,C0881388,0.0144
670,C0010715,C1743449,0.2334
671,C3307644,C0821079,0.7659
672,C3341416,C1168199,0.0921
673,C1006410,C3320906,0.1204
674,C1724053,C0937007,0.2438
675,C0946692,C3776467,0.4675
676,C0614742,C3612201,0.0397
